type,choose,feature_nums,treenums,precision,recall,f1,MCC,TP,FP,TN,FN,AUC
test,mrmr,41,45,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7702661826981246,"
"
test,mrmr,41,46,0.7368421052631579,0.3684210526315789,0.49122807017543857,0.3983932366027047,14.0,5.0,82.0,24.0,0.7725347852389595,"
"
test,mrmr,41,47,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7710223835450696,"
"
test,mrmr,41,48,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7673926194797338,"
"
test,mrmr,41,49,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7673926194797338,"
"
test,mrmr,41,50,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7675438596491229,"
"
test,mrmr,41,51,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7723835450695705,"
"
test,mrmr,41,52,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7699637023593466,"
"
test,mrmr,41,53,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7687537810042347,"
"
test,mrmr,41,54,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7695099818511797,"
"
test,mrmr,41,55,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7701149425287356,"
"
test,mrmr,41,56,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7725347852389595,"
"
test,mrmr,41,57,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7707199032062916,"
"
test,mrmr,41,58,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7690562613430127,"
"
test,mrmr,41,59,0.75,0.39473684210526316,0.5172413793103448,0.4231689514992538,15.0,5.0,82.0,23.0,0.7689050211736237,"
"
test,mrmr,41,60,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7707199032062916,"
"
test,mrmr,41,61,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7704174228675136,"
"
test,mrmr,41,62,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7710223835450696,"
"
test,mrmr,41,63,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7705686630369026,"
"
test,mrmr,41,64,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7705686630369026,"
"
test,mrmr,41,65,0.7894736842105263,0.39473684210526316,0.5263157894736843,0.44683599397171064,15.0,4.0,83.0,23.0,0.7679975801572898,"
"
test,mrmr,41,66,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.764821536600121,"
"
test,mrmr,41,67,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.765124016938899,"
"
test,mrmr,41,68,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.764519056261343,"
"
test,mrmr,41,69,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.764670296430732,"
"
test,mrmr,41,70,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.764519056261343,"
"
test,mrmr,41,71,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7683000604960678,"
"
test,mrmr,41,72,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.765728977616455,"
"
test,mrmr,41,73,0.8333333333333334,0.39473684210526316,0.5357142857142857,0.4719893458447212,15.0,3.0,84.0,23.0,0.7633091349062311,"
"
